,text,label,timestamp
27128,"State broadcaster China Central Television announced Tuesday that the National Health Commission had deployed a team of experts to Hubei Province ’ s city of Wuhan to conduct “ relevant inspection and verification work ” following the emergence of over two dozen cases of an atypical pneumonia within the area , reported AFP .
Chinese news outlet The Paper revealed that at least 27 individuals from the city were hospitalized .
`` Of the 27 cases , seven were critical , the rest were under control , and two patients are expected to be discharged from hospital in near future @ @ @ @ @ @ @ to a translation by AFP .
Citing hospital officials , The People ’ s Daily reported that the cause of the illnesses remains unclear and specified that they “ can not confirm ” if it is SARS .
Symptoms of the virus are similar to those of pneumonia and bird flu .
Another 298 individuals contracted and died from SARS in Hong Kong during the same period - which explains Hong Kong health officials ’ urgency concerning the recent pneumonia outbreak .
“ The situation in Wuhan is unusual , and we are @ @ @ @ @ @ @ outbreak yet , ” Secretary for Food and Health Sophia Chan Siu Chee said on December 31 , as reported by the South China Morning Post .
“ Since we are now in the holiday season , and Hong Kong has close transport ties with Wuhan , we must stay alert .
”",0,1-2020
51116,"The city of Lone Tree asked residents to avoid Erminedale Drive at about 4:40 p.m. Tuesday and told people on @ @ @ @ @ place while police worked in the area .
Few details were available , but a @ @ @ @ @ the activity surrounded one house .
A SWAT team is assisting , he said .
@ @ @ @ @ as more information becomes available .",1,1-2020
19487,"According to a manager at a store in the Pennsylvania town of Edinboro , he found a closed pill bottle with live bedbugs inside it on January 2 .
The bottle was found inside a boy ’ s jacket , which was on sale .
Officials from the health safety company Ecolab confirmed this week that the insects found in the store were in fact bedbugs .
`` Walmart reached out to other stores in the area and verified this has been an isolated incident , '' state police officials , who are currently reviewing surveillance video from the store @ @ @ @ @ @ @ have also been collected by police for fingerprint processing .
However , despite the fact that they are a nuisance , bedbugs aren ’ t necessarily dangerous in most cases .
“ A bed bug bite affects each person differently .
Bite responses can range from an absence of any physical signs of the bite , to a small bite mark , to a serious allergic reaction .
Bed bugs are not considered to be dangerous ; however , an allergic reaction to several bites may need medical attention , ” the CDC @ @ @ @ @",0,1-2020
12607,"About 6:50 p.m. , about five to six males wearing masks entered the business in the 900 block of North @ @ @ @ @ , according to Chicago police .",1,1-2020
75678,"Netflix has treated fans to a sneaky look at the second series of Sex Education ahead of its release later this week .
The wildly successful first season of the high school comedy followed the misadventures of awkward teen Otis ( played by Asa Butterfield ) whose mother Jean ( Gillian Anderson ) is a sex therapist .
Inspired by his mum ’ s work , Otis sets up a sex clinic in his school with his friend Maeve ( Emma Mackey ) .
By the end of series one , he ’ d decided to pack things up - @ @ @ @ @ @ @ back in business .
This time around , he has a new girlfriend , which could make things awkward with his former crush Maeve .
Meanwhile the school has been hit with an outbreak of chlamydia and the headteacher has recruited Jean to start officially teaching sex education .
In yet another cringe-worthy twist , it turns out that Jakob , the father of Otis ’ girlfriend Ola , has his eye on the therapist too .
The trailer also hints at a new romance for Eric ( Ncuti Gatwa ) who appears @ @ @ @ @ @ @ a visiting student .
Sex Education also stars Kedar Williams-Stirling as Jackson , Connor Swindells as Adam , Aimee Lou Wood as Aimee and Tanya Reynolds as Lily .
The second series has been directed by Ben Taylor , Alice Seabright and Sophie Goodhart , with Jamie Campbell , Ben Taylor and writer and creator Laurie Nunn also serving as executive producers .
Sex Education series two is available to stream on Netflix from Friday , January 17 .",1,1-2020
19486,"`` We have excluded several hypotheses , in particular the fact that it is a flu , an avian flu , an adenovirus , respiratory syndrome severe acute ( SARS ) or Middle East Respiratory Syndrome ( MERS ) , '' Wuhan ’ s health commission is quoted as saying by Channel News Asia .
Wuhan police announced last week that they have already punished eight people for `` publishing or forwarding false information on the internet [ regarding the virus ] without verification.
” The infection is believed to have broken out some time between December 12 and December @ @ @ @ @ @ @ at the same seafood market in Wuhan , which has since been shut down for decontamination .
There is no evidence of human-to-human transmission of the virus so far .
`` The symptoms reported among the patients are common to several respiratory diseases , and pneumonia is common in the winter season , '' the World Health Organization said in a Sunday statement .
According to the US Centers for Disease Control and Prevention ( CDC ) , SARS is a viral respiratory illness caused by a coronavirus , which is a type @ @ @ @ @ @ @ of mammals .
SARS was first reported in Asia back in 2003 .
It spread to 37 countries in North America , South America , Europe and Asia , infecting more than 8,000 people and killing 774 in 2003 , the same year that the virus was contained .",0,1-2020
94219,"Hong Kong ’ s health chief said Tuesday that a respiratory illness whose cause remains unknown will be added to an official list of diseases that medical practitioners are required to report to the government .
The disease — an unidentified form of viral pneumonia — has sent 59 people to the hospital in the mainland Chinese city of Wuhan , in central Hubei province .
As of Sunday , seven were in critical condition , while the rest were stable .
Municipal authorities have ruled out SARS , the severe acute respiratory syndrome that killed 700 people in 2002 @ @ @ @ @ @ @ a total of 15 patients were being treated Sunday for symptoms including fever and respiratory infection after recent visits to Wuhan .
It is not clear whether they have the same illness as the Wuhan patients .
Speaking at a news conference , the health chief , Sophia Chan , said the “ severe respiratory disease associated with a novel infectious agent ” will be added to a list of reportable infectious diseases in Hong Kong ’ s Prevention and Control of Disease Ordinance .
The regulation enables the government to take stronger @ @ @ @ @ @ @ , such as tuberculosis and chicken pox .
Actions under the ordinance could include enforcing quarantines or limiting the movement of people who are suspected to have infections .
“ Under the amendment , medical practitioners will have to report suspected cases as well as carry out appropriate investigations and follow-ups to the Center for Health Protection under the Department of Health , “ Chan said .
The U.S. Consulate General in Wuhan issued a health alert Tuesday for the pneumonia outbreak , warning travellers to Wuhan to avoid animals , as well @ @ @ @ @ @ @ more of the Star in your inbox Never miss the latest news from the Star .
Sign up for our newsletters to get today 's top stories , your favourite columnists and lots more in your inbox Sign Up Now",1,1-2020
86144,"A man accused of setting his own home on fire last month in west suburban Downers Grove was taken into custody and charged Monday after an arrest warrant was issued two days prior .
Robert Clauser , 52 , faces one felony count of residential arson , the DuPage County state ’ s attorney ’ s office said .
His bail was set at $ 50,000 .
Authorities responded to a home about 7:03 a.m. Dec. 20 to a fire in the 1700 block of Virginia Street , the state ’ s attorney ’ s office said .
The residence @ @ @ @ @ @ @ ” and investigators found gas cans , propane tanks and other combustible items inside the home .
“ It is alleged that in the early morning hours of December 20 , 2019 , Mr. Clauser intentionally set fire to his residence , ” DuPage County State ’ s Attorney Robert Berlin said .
“ Thankfully , no one was injured , and the fire was contained to Mr. Clauser ’ s residence and did not cause any damage to neighboring homes.
” Neighbors called in the fire and told authorities they saw Clauser @ @ @ @ @ @ @ Herrick Highland and Pierce Downer schools were put on soft lockdown through the early afternoon .
Clauser is due in court again Jan. 9 .
Read more on crime , and track the city ’ s homicides .",1,1-2020
58530,"Three men were arrested Sunday after authorities rescued a girl they said had been sexually assaulted and was being held against her will at one of the men ’ s homes in Chino Hills .
Ontario police began looking for the teen , whose age was not given , after her parents reported her missing Saturday night .
Detectives found her a day later at the home of 22-year-old Irving Galvan through leads found on social media apps , one of which was Snapchat , said Sgt .
Bill Russell .
“ Once we were brought in , our investigators @ @ @ @ @ @ @ , ” Russell said .
Galvan was taken into custody at his home on suspicion of kidnapping , rape , child molestation and false imprisonment .
Authorities also arrested Encino Limon , 21 , of Corona on suspicion of child molestation .
Authorities suspect Galvan and Limon worked together to make contact with the girl online , Russell said .
Police could not comment on the condition of the home where the girl was found .
While investigating the case , police say they discovered a third man — 25-year-old Eric Trejo — @ @ @ @ @ @ @ social media .
He also was arrested Sunday on suspicion of contacting a minor with intent to commit a sexual offense , Russell said .
The men have not been charged but are expected to appear in court Tuesday , according to court records .
Police suspect there may be additional victims .
Anyone with information is asked to call the Ontario Police Department at ( 909 ) 986-6711 .",1,1-2020
85434,"A 72-year-old man with liver problems was in the emergency department for almost two days before being transferred to a ward , his wife has said – but that was before flu season kicked in .
On Tuesday , the Irish Nurses and Midwives Organisation ( INMO ) revealed that for the second day in a row 760 people were waiting on trolleys in emergency departments and wards for a bed .
This is the highest number ever recorded .
The influx of patients seeking a hospital bed has been attributed to an outbreak of flu .
However Lesley Williams @ @ @ @ @ @ @ St Vincent ’ s hospital since December 2nd , said the problem of people waiting on trolleys has been around much longer than the flu season .
“ He was brought down to A & E and he was sitting on a chair for 10 hours .
He was then given a trolley in in a little room off A & E .
He was 35 hours down there before he was transferred to a ward and that was pre-flu epidemic , ” said Ms Williams said .
“ He was happy enough @ @ @ @ @ @ @ away .
He was treated in A & E , in the chair .
He was on a drip , so he was quite stoic about that but at the same time a little afraid.
” Ms Williams said it was obvious the hospital was busy and they didn ’ t want to cause trouble .
But that not having a bed made the situation more stressful “ He could see the place was busy , but he ’ s not a demanding person in that he wouldn ’ t complain about sitting @ @ @ @ @ @ @ .
“ It ’ s a very emotional state.
” She added : “ You ’ re filled for the most part with fear , but also being a control freak ; you feel out of control .
You don ’ t know what ’ s going on .
You don ’ t know what ’ s going to happen , you don ’ t know whether that ’ s normal .
You ’ ve all these kind of emotions going on in your head .
”",1,1-2020
